北京,#genre#
北京卫视,http://218.241.192.50:8808/udp/239.3.1.241:8000
北京新闻,http://218.241.192.50:8808/udp/239.3.1.159:8000
北京影视,http://218.241.192.50:8808/udp/239.3.1.158:8000
北京文艺,http://218.241.192.50:8808/udp/239.3.1.242:8000
北京财经,http://218.241.192.50:8808/udp/239.3.1.116:8000
北京生活,http://218.241.192.50:8808/udp/239.3.1.117:8000
北京国际,http://218.241.192.50:8808/udp/239.3.1.235:8000
北京体育休闲,http://218.241.192.50:8808/udp/239.3.1.243:8000
北京纪实科教,http://218.241.192.50:8808/udp/239.3.1.115:8000
北京卡酷少儿,http://218.241.192.50:8808/udp/239.3.1.189:8000
4K超清,http://218.241.192.50:8808/udp/239.3.1.249:8001
淘电影,http://218.241.192.50:8808/udp/239.3.1.250:8001
淘剧场,http://218.241.192.50:8808/udp/239.3.1.95:8001
淘精彩,http://218.241.192.50:8808/udp/239.3.1.178:8001
淘娱乐,http://218.241.192.50:8808/udp/239.3.1.100:8001
淘Baby,http://218.241.192.50:8808/udp/239.3.1.238:8001
萌宠TV,http://218.241.192.50:8808/udp/239.3.1.102:8001
大健康,http://218.241.192.50:8808/udp/239.3.1.251:8001
卫视,#genre#
山东卫视,http://218.241.192.50:8808/udp/239.3.1.209:8052
北京卫视,http://218.241.192.50:8808/udp/239.3.1.241:8000
天津卫视,http://218.241.192.50:8808/udp/239.3.1.141:1234
东方卫视,http://218.241.192.50:8808/udp/239.3.1.136:8032
浙江卫视,http://218.241.192.50:8808/udp/239.3.1.137:8036
江苏卫视,http://218.241.192.50:8808/udp/239.3.1.135:8028
安徽卫视,http://218.241.192.50:8808/udp/239.3.1.211:8064
湖北卫视,http://218.241.192.50:8808/udp/239.3.1.138:8044
江西卫视,http://218.241.192.50:8808/udp/239.3.1.123:8164
东南卫视,http://218.241.192.50:8808/udp/239.3.1.156:8148
广东卫视,http://218.241.192.50:8808/udp/239.3.1.142:8048
深圳卫视,http://218.241.192.50:8808/udp/239.3.1.134:8020
贵州卫视,http://218.241.192.50:8808/udp/239.3.1.149:8076
重庆卫视,http://218.241.192.50:8808/udp/239.3.1.122:8160
黑龙江卫视,http://218.241.192.50:8808/udp/239.3.1.133:8016
辽宁卫视,http://218.241.192.50:8808/udp/239.3.1.210:8056
吉林卫视,http://218.241.192.50:8808/udp/239.3.1.240:8172
